City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,egilsstadir,65.2653,-14.3948,-3.94,88,87,0.88,IS,1727503766
213,paracatu,-17.2222,-46.8747,24.76,33,35,1.1,BR,1727503768
214,edson,53.5835,-116.4356,8.5,46,60,4.89,CA,1727503770
215,gemlik,40.4309,29.1597,19.47,47,0,0.73,TR,1727503771
216,princes risborough,51.7255,-0.8314,5.33,94,6,2.15,GB,1727503772
217,pasni,25.2631,63.471,28.86,74,31,5.41,PK,1727503774
218,gadzhiyevo,69.2551,33.3362,6.91,97,100,10.16,RU,1727503775
219,port alfred,-33.5906,26.891,19.83,64,100,3.3,ZA,1727503776
220,greymouth,-42.4667,171.2,10.37,77,60,4.26,NZ,1727503777
221,st. john's,47.5649,-52.7093,12.21,90,100,0.89,CA,1727503779
222,ingeniero jacobacci,-41.3427,-69.5448,5.47,72,66,14.06,AR,1727503783
223,constitucion,-35.3333,-72.4167,11.64,56,100,3.04,CL,1727503784
224,ivdel',60.6911,60.4206,14.25,48,76,3.62,RU,1727503786
225,dongsheng,39.8161,109.9776,18.62,66,98,11.07,CN,1727503787
226,leh,34.1667,77.5833,13.19,28,40,2.89,IN,1727503788
227,lazaro cardenas,17.9583,-102.2,25.18,91,98,4.14,MX,1727503789
228,talnakh,69.4865,88.3972,1.02,99,100,5.14,RU,1727503790
229,kununurra,-15.7667,128.7333,32.99,49,75,9.26,AU,1727503792
230,bochum,51.4833,7.2167,9.65,92,40,1.34,DE,1727503793
231,vorgashor,67.5833,63.95,9.05,90,100,6.39,RU,1727503794
232,broken hill,-31.95,141.4333,23.74,19,93,7.37,AU,1727503795
233,zaysan,47.4667,84.8667,7.58,31,62,6.94,KZ,1727503797
234,jinghong,21.991,100.7341,32.38,53,64,1.32,CN,1727503798
235,south suffolk,36.7171,-76.5902,24.4,91,0,3.09,US,1727503799
236,alice springs,-23.7,133.8833,32.75,21,37,6.69,AU,1727503517
237,ola,59.5833,151.2833,8.22,82,32,3.81,RU,1727503802
238,anantapur,14.6833,77.6,31.74,45,43,2.96,IN,1727503803
239,vila franca do campo,37.7167,-25.4333,22.23,89,42,5.61,PT,1727503804
240,penzance,50.1186,-5.5371,7.38,67,8,4.64,GB,1727503806
241,eastham,41.8301,-69.9739,16.44,90,0,0.0,US,1727503807
242,aktau,43.65,51.2,16.32,29,44,8.16,KZ,1727503644
243,caleta de carquin,-11.0925,-77.6267,16.49,90,69,2.83,PE,1727503809
244,igarka,67.4667,86.5833,3.47,97,100,8.09,RU,1727503811
245,crane,31.3974,-102.3501,24.17,39,0,3.43,US,1727503812
246,lubango,-14.9172,13.4925,18.72,48,11,0.71,AO,1727503813
247,paita,-5.0892,-81.1144,16.98,87,98,4.78,PE,1727503815
248,tupa,-21.9347,-50.5136,17.92,63,0,4.39,BR,1727503816
249,dudinka,69.4058,86.1778,3.81,99,100,7.46,RU,1727503817
250,larkird,35.4894,66.6641,18.39,50,6,1.96,AF,1727503819
251,etzatlan,20.7667,-104.0833,15.69,99,100,1.01,MX,1727503820
252,akureyri,65.6835,-18.0878,-0.76,86,93,1.66,IS,1727503618
253,del rio,29.3627,-100.8968,24.06,50,0,3.09,US,1727503822
254,alotau,-10.3069,150.4462,28.55,74,78,3.35,PG,1727503824
255,danville,36.586,-79.395,18.82,97,100,0.0,US,1727503825
256,panaba,21.2833,-88.2667,24.46,90,100,2.05,MX,1727503826
257,jinchang,38.4953,102.1739,18.68,33,66,10.84,CN,1727503611
258,opuwo,-18.0607,13.84,19.71,42,34,0.91,NA,1727503829
259,rio grande,-32.035,-52.0986,13.67,89,4,1.68,BR,1727503832
260,nuuk,64.1835,-51.7216,6.34,87,100,15.95,GL,1727503830
261,newman,37.3138,-121.0208,21.83,53,0,0.89,US,1727503834
262,sittwe,20.15,92.9,29.42,72,70,2.17,MM,1727503835
263,butembo,0.15,29.2833,19.03,81,100,0.36,CD,1727503837
264,belawan,3.7755,98.6832,30.65,65,69,2.21,ID,1727503838
265,hithadhoo,-0.6,73.0833,28.5,75,75,4.96,MV,1727503839
266,aroma,15.8167,36.1333,31.23,50,18,6.44,SD,1727503842
267,guiratinga,-16.3494,-53.7583,23.25,71,29,0.71,BR,1727503843
268,east ballina,-28.8667,153.5833,16.0,93,100,12.65,AU,1727503844
269,beichengqu,40.4394,113.1536,20.78,60,95,6.92,CN,1727503846
270,chernyshevskiy,63.0128,112.4714,3.88,70,68,5.01,RU,1727503847
271,wau,7.7029,27.9953,26.38,76,50,0.93,SS,1727503848
272,fukuecho,32.6881,128.8419,25.83,76,3,12.68,JP,1727503762
273,ust-nera,64.5667,143.2,4.14,63,84,2.61,RU,1727503850
274,wailua homesteads,22.0669,-159.378,25.44,83,75,4.12,US,1727503852
275,fortuna,40.5982,-124.1573,12.74,94,3,1.27,US,1727503853
276,san felipe,10.3399,-68.7425,22.64,97,100,0.43,VE,1727503854
277,jwaneng,-24.6004,24.7303,23.66,24,15,8.66,BW,1727503855
278,port elizabeth,-33.918,25.5701,16.16,88,20,7.2,ZA,1727503857
279,hauterive,46.0901,3.4459,12.42,96,100,2.92,FR,1727503858
280,kiruna,67.8557,20.2251,-1.49,80,14,3.09,SE,1727503859
281,uliastay,47.7417,96.8444,6.02,39,96,1.67,MN,1727503860
282,copala,16.65,-98.9833,23.21,92,100,3.1,MX,1727503862
283,chadan,51.2833,91.5833,5.67,28,15,2.44,RU,1727503863
284,maputo,-25.9653,32.5892,21.79,77,20,0.45,MZ,1727503864
285,nar'yan-mar,67.6713,53.087,11.6,94,100,8.22,RU,1727503865
286,rimouski,48.4488,-68.524,8.82,98,100,2.89,CA,1727503867
287,aginskoye,51.1,114.53,8.63,37,100,5.81,RU,1727503868
288,tazacorte,28.629,-17.9293,21.54,75,20,4.63,ES,1727503869
289,pumiao,22.75,108.4833,32.54,57,92,3.72,CN,1727503870
290,mariehamn,60.0973,19.9348,9.34,93,0,1.54,AX,1727503871
291,villa emilio carranza,19.9667,-96.6,25.29,84,98,2.57,MX,1727503873
292,askale,39.9208,40.695,13.64,57,0,2.26,TR,1727503874
293,general levalle,-34.0147,-63.9241,13.5,36,28,3.91,AR,1727503875
294,carolina beach,34.0352,-77.8936,25.6,96,68,1.87,US,1727503876
295,yakeshi,49.2833,120.7333,16.13,78,100,3.94,CN,1727503878
296,puerto baquerizo moreno,-0.9,-89.6,19.88,91,100,4.49,EC,1727503879
297,santo tome,-31.6627,-60.7653,15.57,86,43,3.58,AR,1727503880
298,tsiombe,-25.3,45.4833,24.45,60,91,3.43,MG,1727503883
299,ondjiva,-17.0667,15.7333,22.02,40,33,2.65,AO,1727503885
300,remire-montjoly,4.9167,-52.2667,25.02,100,75,1.03,GF,1727503886
301,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,71,20,5.0,RU,1727503887
302,flin flon,54.7682,-101.865,12.59,51,10,6.12,CA,1727503888
303,paso de la patria,-27.3168,-58.572,16.13,92,0,2.3,AR,1727503890
304,redcliff,-19.0333,29.7833,25.64,28,5,2.49,ZW,1727503891
305,lebu,-37.6167,-73.65,10.14,89,100,3.58,CL,1727503857
306,laojunmiao,39.8333,97.7333,8.29,47,100,3.12,CN,1727503893
307,berezovyy,51.6667,135.7,19.85,44,88,2.82,RU,1727503895
308,sundsvall,62.3913,17.3063,1.98,87,30,3.09,SE,1727503896
309,santa ana,33.7456,-117.8678,18.2,92,20,2.06,US,1727503897
310,howard springs,-12.497,131.047,31.6,67,51,4.7,AU,1727503898
311,al ghayzah,16.2079,52.176,29.85,64,80,2.3,YE,1727503899
312,tralee,52.2704,-9.7026,8.5,83,61,1.79,IE,1727503901
313,cehegin,38.0924,-1.7985,14.82,44,3,1.54,ES,1727503832
